dataset,method,attention,loss,loss_name,seed,acc,macro_f1,qwk,mae,tau,gamma,label_smoothing,run_tag,source
KOA,ResNet50 + MESC VersionB,MESC,,,6,0.6840999999999999,0.6649,0.8327,0.3657,,,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_plus_mesc_versionb_seed6,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_plus_mesc_versionb_seed6.log
KOA,ResNet50 + MESC VersionB + DAST,MESC,DAST,,6,0.6986,0.6826,0.8324,0.363,1.0,1.5,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_plus_mesc_versionb_plus_dast_seed6,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_plus_mesc_versionb_plus_dast_seed6.log
ADNI,ResNet50,,CE,ce,6,0.9445,0.9297,0.927,0.0648,,,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_seed6,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_seed6.log
ADNI,ResNet50 + DAST,,DAST,dast,6,0.943,0.9179,0.9448,0.0586,1.0,1.5,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_plus_dast_seed6,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_plus_dast_seed6.log
ADNI,ResNet50 + MESC VersionB,MESC,CE,ce,6,0.9883,0.9884,0.9897,0.0117,,,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_plus_mesc_versionb_seed6,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_plus_mesc_versionb_seed6.log
ADNI,ResNet50 + MESC VersionB + DAST,MESC,DAST,dast,6,0.9883,0.991,0.9876,0.0125,1.0,1.5,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_plus_mesc_versionb_plus_dast_seed6,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_plus_mesc_versionb_plus_dast_seed6.log
KOA,ResNet50,,CE,,7,0.6501,0.6734,0.823,0.3965,,,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_seed7,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_seed7.log
KOA,ResNet50 + DAST,,DAST,,7,0.6598999999999999,0.6745,0.8189,0.3971,1.0,1.5,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_plus_dast_seed7,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_plus_dast_seed7.log
KOA,ResNet50 + MESC VersionB,MESC,,,7,0.675,0.6703,0.8406,0.3696,,,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_plus_mesc_versionb_seed7,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_plus_mesc_versionb_seed7.log
KOA,ResNet50 + MESC VersionB + DAST,MESC,DAST,,7,0.6678000000000001,0.6864,0.8452,0.363,1.0,1.5,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_plus_mesc_versionb_plus_dast_seed7,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_plus_mesc_versionb_plus_dast_seed7.log
ADNI,ResNet50,,CE,ce,7,0.9492,0.9279,0.9401,0.0562,,,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_seed7,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_seed7.log
ADNI,ResNet50 + DAST,,DAST,dast,7,0.9281,0.8959,0.9273,0.0742,1.0,1.5,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_plus_dast_seed7,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_plus_dast_seed7.log
ADNI,ResNet50 + MESC VersionB,MESC,CE,ce,7,0.9859,0.9872,0.9813,0.0164,,,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_plus_mesc_versionb_seed7,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_plus_mesc_versionb_seed7.log
ADNI,ResNet50 + MESC VersionB + DAST,MESC,DAST,dast,7,0.982,0.9842,0.9797,0.0195,1.0,1.5,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_plus_mesc_versionb_plus_dast_seed7,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_adni_resnet50_plus_mesc_versionb_plus_dast_seed7.log
KOA,ResNet50,,CE,,8,0.6670999999999999,0.6824,0.8298,0.3834,,,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_seed8,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_seed8.log
KOA,ResNet50 + DAST,,DAST,,8,0.6474,0.6794,0.8211,0.3978,1.0,1.5,,controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_plus_dast_seed8,/root/autodl-tmp/MedVisionLab/batch_logs/controlled_mecsb_vb_koa_adni_10seed_20260803_234110/controlled_mecsb_vb_koa_adni_10seed_20260803_234110_koa_resnet50_plus_dast_seed8.log
